drug,disease,target,association_score,max_phase,action_type,priority_score,boxed_warning,contraindications,serious_ae_reports,disease_trial_count,disease_max_trial_phase,disease_trial_has_results,pubmed_result_count,disease_burden_estimate,storage_requires_cold_chain,patent_status,eml_listed,resistance_notes,manufacturing_notes
REGORAFENIB,Schistosomiasis,KIT,0.07816100621227716,4.0,INHIBITOR,63.1,True,4 CONTRAINDICATIONS None. None.,1998,0,0,False,0,,False,,,,
SORAFENIB TOSYLATE,Schistosomiasis,KIT,0.07816100621227716,4.0,INHIBITOR,63.1,,,63,0,0,False,0,,,,,,
SUNITINIB MALATE,Schistosomiasis,KIT,0.07816100621227716,4.0,INHIBITOR,63.1,True,4 CONTRAINDICATIONS None. None ( 4 ),5054,0,0,False,0,,False,,,,
IMATINIB MESYLATE,Schistosomiasis,KIT,0.07816100621227716,4.0,INHIBITOR,63.1,False,4 CONTRAINDICATIONS None. None ( 4 ).,3276,0,0,False,1,,False,,,,
PEXIDARTINIB,Schistosomiasis,KIT,0.07816100621227716,4.0,INHIBITOR,63.1,True,4 CONTRAINDICATIONS None. None. ( 4 ),148,0,0,False,0,,False,,,,
QUIZARTINIB,Schistosomiasis,KIT,0.07816100621227716,4.0,INHIBITOR,63.1,True,"4 CONTRAINDICATIONS VANFLYTA is contraindicated in patients with severe hypokalemia, severe hypomagnesemia, long QT syndrome, or in patients with a history of ventricular arrhythmias or torsades de pointes [see Warnings and Precautions (5.1) ]. Contraindicated in patients with severe hypokalemia, severe hypomagnesemia, long QT syndrome, or in patients with a history of ventricular arrhythmias or t",118,0,0,False,0,,False,,,,
MIDOSTAURIN,Schistosomiasis,KIT,0.07816100621227716,4.0,INHIBITOR,63.1,,,1239,0,0,False,0,,,,,,
TRASTUZUMAB EMTANSINE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,True,4 CONTRAINDICATIONS None. None. ( 4 ),3637,0,0,False,0,,True,,,,
BRENTUXIMAB VEDOTIN,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,True,"4 CONTRAINDICATIONS ADCETRIS is contraindicated with concomitant bleomycin due to pulmonary toxicity (e.g., interstitial infiltration and/or inflammation) [see Adverse Reactions (6.1) ] . Concomitant use with bleomycin due to pulmonary toxicity (4) .",5465,0,0,False,0,,False,,,,
PACLITAXEL,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,True,"CONTRAINDICATIONS Paclitaxel is contraindicated in patients who have a history of hypersensitivity reactions to paclitaxel or other drugs formulated in polyoxyl 35 castor oil. Paclitaxel should not be used in patients with solid tumors who have baseline neutrophil counts of <1,500 cells/mm 3 or in patients with AIDS-related Kaposi's sarcoma with baseline neutrophil counts of <1,000 cells/mm 3 .",88342,1,3,True,1,,False,,,,
DOCETAXEL,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,True,"4 CONTRAINDICATIONS Docetaxel Injection is contraindicated in patients with: • neutrophil counts of <1500 cells/mm 3 [ see Warnings and Precautions (5.3) ]. • a history of severe hypersensitivity reactions to docetaxel or to other drugs formulated with polysorbate 80. Severe reactions, including anaphylaxis, have occurred [ see Warnings and Precautions (5.5) ]. • Hypersensitivity to docetaxel or p",56359,0,0,False,0,,True,,,,
ERIBULIN MESYLATE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,False,4 CONTRAINDICATIONS None. None ( 4 ),337,0,0,False,0,,False,,,,
CABAZITAXEL,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,True,"4 CONTRAINDICATIONS JEVTANA is contraindicated in patients with: neutrophil counts of ≤1,500/mm 3 [see Warnings and Precautions (5.1) ] history of severe hypersensitivity reactions to cabazitaxel or to other drugs formulated with polysorbate 80 [see Warnings and Precautions (5.3) ] severe hepatic impairment (total bilirubin >3 × ULN) [see Warnings and Precautions (5.8) ] Neutrophil counts of ≤1,50",1964,0,0,False,0,,True,,,,
COLCHICINE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,False,"4 CONTRAINDICATIONS Patients with renal or hepatic impairment should not be given colchicine tablets in conjunction with P-gp or strong CYP3A4 inhibitors (this includes all protease inhibitors except fosamprenavir). In these patients, life-threatening and fatal colchicine toxicity has been reported with colchicine taken in therapeutic doses. Patients with renal or hepatic impairment should not be ",22567,1,2,False,3,,False,,,,
IXABEPILONE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,True,"4 CONTRAINDICATIONS IXEMPRA is contraindicated in patients who have: a neutrophil count <1500 cells/mm 3 or a platelet count <100,000 cells/mm 3 [see Warnings and Precautions ( 5.2 )]. a history of severe hypersensitivity to agents containing Cremophor ® EL or its derivatives (e.g., polyoxyethylated castor oil) [see Warnings and Precautions ( 5.4 )]. IXEMPRA in combination with capecitabine is con",647,0,0,False,0,,False,,,,
VINCRISTINE SULFATE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,True,CONTRAINDICATIONS Patients with the demyelinating form of Charcot–Marie–Tooth syndrome should not be given Vincristine Sulfate Injection. Careful attention should be given to those conditions listed under WARNINGS and PRECAUTIONS .,28842,1,3,True,0,,True,,,,
VINORELBINE TARTRATE,Chagas disease,TUBA1B,0.07520950042833682,4.0,INHIBITOR,63.0,,,1928,0,0,False,0,,,,,,
